ROWNUM,X,Y,FEEDER
24.5144121.8706,24.5144,121.8706,24.5144121.8706
24.4912121.8559,24.4912,121.8559,24.4912121.8559
24.6323121.9086,24.6323,121.9086,24.6323121.9086
24.6615121.8753,24.6615,121.8753,24.6615121.8753
24.6144121.9233,24.6144,121.9233,24.6144121.9233
24.6286121.9196,24.6286,121.9196,24.6286121.9196
24.6286121.9196,24.6286,121.9196,24.6286121.9196
24.6089121.927,24.6089,121.927,24.6089121.927
24.6068121.926,24.6068,121.926,24.6068121.926
24.6109121.9157,24.6109,121.9157,24.6109121.9157
24.6208121.9236,24.6208,121.9236,24.6208121.9236
24.6208121.9236,24.6208,121.9236,24.6208121.9236
24.6153121.9175,24.6153,121.9175,24.6153121.9175
24.6146121.9172,24.6146,121.9172,24.6146121.9172
24.6193121.9097,24.6193,121.9097,24.6193121.9097
24.6198121.9231,24.6198,121.9231,24.6198121.9231
24.6198121.9231,24.6198,121.9231,24.6198121.9231
24.5989121.911,24.5989,121.911,24.5989121.911
24.5974121.9103,24.5974,121.9103,24.5974121.9103
24.6444121.8596,24.6444,121.8596,24.6444121.8596
24.5988121.9241,24.5988,121.9241,24.5988121.9241
24.6093121.9127,24.6093,121.9127,24.6093121.9127
24.6107121.9133,24.6107,121.9133,24.6107121.9133
24.6191121.9009,24.6191,121.9009,24.6191121.9009
24.6213121.9018,24.6213,121.9018,24.6213121.9018
24.6062121.892,24.6062,121.892,24.6062121.892
24.6084121.893,24.6084,121.893,24.6084121.893
24.584121.9251,24.584,121.9251,24.584121.9251
24.5884121.9273,24.5884,121.9273,24.5884121.9273
24.6446121.9261,24.6446,121.9261,24.6446121.9261
24.6293121.9189,24.6293,121.9189,24.6293121.9189
24.5189122.0108,24.5189,122.0108,24.5189122.0108
24.6144121.9493,24.6144,121.9493,24.6144121.9493
24.6325121.9175,24.6325,121.9175,24.6325121.9175
24.6258121.9281,24.6258,121.9281,24.6258121.9281
24.5937121.9655,24.5937,121.9655,24.5937121.9655
24.7731121.7467,24.7731,121.7467,24.7731121.7467
24.6414121.9111,24.6414,121.9111,24.6414121.9111
24.6518121.9359,24.6518,121.9359,24.6518121.9359
24.6333121.9158,24.6333,121.9158,24.6333121.9158
24.6216121.9349,24.6216,121.9349,24.6216121.9349
24.6524121.9204,24.6524,121.9204,24.6524121.9204
24.638121.9332,24.638,121.9332,24.638121.9332
24.6908121.8745,24.6908,121.8745,24.6908121.8745
24.6021121.9737,24.6021,121.9737,24.6021121.9737
24.6437121.9236,24.6437,121.9236,24.6437121.9236
24.6368121.9388,24.6368,121.9388,24.6368121.9388
24.6245121.9538,24.6245,121.9538,24.6245121.9538
24.6391121.9571,24.6391,121.9571,24.6391121.9571
24.6704121.9323,24.6704,121.9323,24.6704121.9323
24.6624121.9427,24.6624,121.9427,24.6624121.9427
24.6574121.9328,24.6574,121.9328,24.6574121.9328
24.6994121.893,24.6994,121.893,24.6994121.893
24.649121.9525,24.649,121.9525,24.649121.9525
24.6366121.9068,24.6366,121.9068,24.6366121.9068
24.6449121.939,24.6449,121.939,24.6449121.939
24.6646121.9124,24.6646,121.9124,24.6646121.9124
24.6564121.9226,24.6564,121.9226,24.6564121.9226
24.6369121.9467,24.6369,121.9467,24.6369121.9467
24.6431121.9302,24.6431,121.9302,24.6431121.9302
24.608121.9692,24.608,121.9692,24.608121.9692
24.6469121.9256,24.6469,121.9256,24.6469121.9256
24.6453121.9233,24.6453,121.9233,24.6453121.9233
24.6453121.9233,24.6453,121.9233,24.6453121.9233
24.7417121.8035,24.7417,121.8035,24.7417121.8035
24.621121.9547,24.621,121.9547,24.621121.9547
24.6453121.9263,24.6453,121.9263,24.6453121.9263
24.6426121.9116,24.6426,121.9116,24.6426121.9116
24.6217121.9397,24.6217,121.9397,24.6217121.9397
24.6014121.9079,24.6014,121.9079,24.6014121.9079
24.63121.9218,24.63,121.9218,24.63121.9218
24.6265121.9202,24.6265,121.9202,24.6265121.9202
24.6278121.9244,24.6278,121.9244,24.6278121.9244
24.611121.9404,24.611,121.9404,24.611121.9404
24.6439121.9159,24.6439,121.9159,24.6439121.9159
24.6517121.934,24.6517,121.934,24.6517121.934
24.6429121.9437,24.6429,121.9437,24.6429121.9437
24.7216121.9483,24.7216,121.9483,24.7216121.9483
24.7682121.9799,24.7682,121.9799,24.7682121.9799
24.7595121.9768,24.7595,121.9768,24.7595121.9768
24.7477121.9757,24.7477,121.9757,24.7477121.9757
24.7769121.9925,24.7769,121.9925,24.7769121.9925
24.8771121.7976,24.8771,121.7976,24.8771121.7976
24.598121.8965,24.598,121.8965,24.598121.8965
24.6037121.8906,24.6037,121.8906,24.6037121.8906
24.5933121.9113,24.5933,121.9113,24.5933121.9113
24.5817121.9201,24.5817,121.9201,24.5817121.9201
24.5884121.8995,24.5884,121.8995,24.5884121.8995
24.5488121.9214,24.5488,121.9214,24.5488121.9214
24.6074121.9105,24.6074,121.9105,24.6074121.9105
24.6252121.9125,24.6252,121.9125,24.6252121.9125
24.6308121.9151,24.6308,121.9151,24.6308121.9151
24.6265121.8894,24.6265,121.8894,24.6265121.8894
24.6499121.8639,24.6499,121.8639,24.6499121.8639
24.6067121.9109,24.6067,121.9109,24.6067121.9109
24.6172121.9042,24.6172,121.9042,24.6172121.9042
24.6087121.918,24.6087,121.918,24.6087121.918
24.6021121.9253,24.6021,121.9253,24.6021121.9253
24.5793121.8855,24.5793,121.8855,24.5793121.8855
24.5642121.9013,24.5642,121.9013,24.5642121.9013
24.5793121.909,24.5793,121.909,24.5793121.909
24.5793121.909,24.5793,121.909,24.5793121.909
24.5886121.9027,24.5886,121.9027,24.5886121.9027
