經度緯度,電流強度(kA)0
24.685121.9013,-0
25.0321122.0298,-0
24.8571121.6429,-0
24.8519121.6691,-0
24.8624121.6758,-0
24.8537121.6818,-0
24.8648121.5957,-0
24.8755121.6434,-0
24.8009121.7757,-0
24.8901121.6539,-0
24.9011121.6076,-0
24.9323121.6027,-0
24.9321121.5923,-0
24.8841121.6555,-0
24.8788121.6457,-0
24.8952121.6239,-0
24.5253429412842118.169456481934,-14.5410
24.8812121.6532,-0
24.9579122.0681,-0
24.9585122.0469,-0
24.8416121.6743,-0
24.8406121.6601,-0
24.8325121.6801,-0
24.8052387237549121.730598449707,-8.89850
25.1111122.0385,-0
25.046121.9522,-0
25.0183121.9329,-0
24.8747121.6283,-0
24.8963121.6815,-0
25.109122.1247,-0
25.0698122.0744,-0
25.0032121.9247,-0
24.8883121.6301,-0
24.8262729644775121.585029602051,5.01350
24.8848121.6247,-0
25.2224122.3722,-0
24.9052121.6355,-0
24.8824121.6064,-0
24.8967121.6275,-0
24.8895121.6218,-0
24.908121.617,-0
24.9151121.6324,-0
24.9212121.6056,-0
24.2966121.7718,-0
24.8779121.6039,-0
24.8711121.6227,-0
24.8781121.6319,-0
25.0701122.0854,-0
25.0082121.9419,-0
25.0146121.9016,-0
25.1439122.1941,-0
25.119122.1074,-0
24.8625121.6285,-0
24.8843121.6226,-0
24.8973121.6113,-0
24.5540218353271118.134880065918,-12.89450
24.8735121.6434,-0
24.8903121.6155,-0
24.8658121.636,-0
24.856121.6527,-0
24.8523121.6625,-0
24.8051776885986121.750991821289,-12.8390
24.8839121.6185,-0
24.8342121.6504,-0
24.8934121.5937,-0
24.8982121.5783,-0
24.8663121.6215,-0
24.8959121.6367,-0
24.9011121.6487,-0
25.0528122.0793,-0
24.8724121.6221,-0
24.8624121.6499,-0
24.8879121.6191,-0
24.8786121.642,-0
24.8681121.7697,-0
24.874121.6473,-0
24.8645121.6548,-0
24.8728121.67,-0
24.8932121.8095,-0
24.8419121.6594,-0
24.8151121.684,-0
24.8403121.6563,-0
24.9843122.0143,-0
24.9476121.9342,-0
24.94121.9514,-0
24.9452121.9632,-0
24.9618121.968,-0
24.9646121.9436,-0
25.1113122.053,-0
24.9792121.9315,-0
24.9748121.9201,-0
25.0291121.9195,-0
24.9304121.5935,-0
24.8715121.6146,-0
24.8872121.6197,-0
24.8542121.6591,-0
24.9058121.6094,-0
24.8691121.6257,-0
24.6663121.9232,-0
25.102122.137,-0
24.904121.6359,-0
24.9049121.6183,-0
24.9138121.6379,-0
24.9308121.6127,-0
24.9361121.6008,-0
25.2047122.1562,-0
25.0068121.9065,-0
24.9001121.5962,-0
25.1371122.1311,-0
25.1435122.1451,-0
25.0994121.999,-0
24.8688121.6615,-0
24.8905121.6492,-0
24.8172702789307121.627777099609,-7.93650
24.5586700439453118.170608520508,-12.15450
24.857121.6635,-0
24.8563121.6423,-0
24.8565121.6138,-0
25.0519121.86,-0
24.8824121.5373,-0
24.8723121.6588,-0
24.8122215270996121.660133361816,-10.2860
24.9863121.9452,-0
25.0572121.9819,-0
25.0636121.9615,-0
25.0498121.9429,-0
24.8923121.6286,-0
24.9135121.599,-0
24.9078121.6132,-0
24.8923121.646,-0
24.9164121.5815,-0
25.1556122.0876,-0
24.8878121.6386,-0
25.1239122.0904,-0
25.0583121.9498,-0
24.8126659393311121.626914978027,-29.76650
24.8641121.632,-0
25.2234122.1288,-0
25.1789122.0437,-0
24.8933121.6065,-0
24.9287121.5918,-0
24.9277121.6164,-0
24.8776121.6129,-0
24.9024121.5886,-0
24.9105121.6089,-0
24.9078121.5981,-0
24.8954121.5871,-0
24.833517074585121.673332214355,-4.8840
24.9082121.6058,-0
24.672121.9201,-0
24.7142121.9447,-0
25.3237122.1879,-0
25.1932122.15,-0
25.1521122.0761,-0
24.918121.5827,-0
25.256122.3371,-0
24.9064121.5857,-0
24.9013121.5953,-0
24.8812121.6231,-0
24.8943121.6199,-0
24.9046121.6079,-0
24.9323121.5712,-0
24.9307121.5604,-0
24.9101121.595,-0
24.9249121.5812,-0
24.912121.5842,-0
25.0861122.0804,-0
25.0722121.877,-0
24.9201121.5699,-0
24.8948121.6259,-0
24.9344121.579,-0
25.2546122.1829,-0
24.9173121.5193,-0
24.8974121.5978,-0
24.8999121.5824,-0
25.0448121.8592,-0
24.9181121.5643,-0
25.1971122.0274,-0
25.2065122.1837,-0
24.8964121.6321,-0
24.8892121.6233,-0
24.8982121.644,-0
24.9261121.5751,-0
24.9045085906982121.54557800293,8.12150
24.8901121.5168,-0
24.9082121.5934,-0
25.2162122.1708,-0
25.163122.1306,-0
25.1387122.0701,-0
25.1479122.0701,-0
25.1147122.0546,-0
25.1336122.124,-0
25.0981122.0452,-0
25.0549121.9948,-0
24.9211121.5353,-0
24.9346121.5598,-0
24.9225121.5571,-0
24.9271121.5904,-0
24.9153121.5934,-0
24.9001121.6251,-0
24.9021121.6074,-0
24.9206121.6144,-0
24.9392121.5708,-0
24.9043121.5493,-0
24.92121.5461,-0
24.9319121.5501,-0
24.8462121.6449,-0
24.8406121.6782,-0
24.8305121.6902,-0
24.9543121.9607,-0
24.9445121.9522,-0
24.9202121.9365,-0
24.9349121.9576,-0
24.9135121.9645,-0
25.1131122.1525,-0
25.1224122.1746,-0
25.088122.1208,-0
25.0943122.136,-0
25.067122.1199,-0
24.9222121.5767,-0
24.918121.5821,-0
24.9158121.5965,-0
25.1883122.1696,-0
24.2248119.6281,-0
24.8765121.6383,-0
24.9409121.5437,-0
24.8853121.6243,-0
24.8944121.6226,-0
24.8955121.6047,-0
24.9254121.5988,-0
24.9342121.6268,-0
24.9095121.6073,-0
24.9389121.5473,-0
24.9296121.5508,-0
24.9364121.588,-0
24.8726121.6575,-0
24.8094444274902121.542778015137,5.64250
25.2869892120361118.824897766113,16.7610
25.2528820037842118.923416137695,-11.840
24.8607292175293121.634246826172,-8.4360
25.2526950836182118.874443054199,-12.210
25.2101078033447118.885627746582,-34.8540
25.2678565979004118.83570098877,-24.84550
24.7628120.289,-0
25.1705989837646118.88712310791,-23.69850
